city,gu,day_care_name,day_care_type,day_care_baby_num,teacher_num,nursing_room_num,playground_num,CCTV_num,is_commuting_vehicle,reference_date,Address
서울특별시,서대문구,가람어린이집,국공립,70,11.0,5.0,1.0,7.0,N,2018-07-31,서울 성북구 흥천사길 49-23
서울특별시,서대문구,가좌제일어린이집,국공립,88,22.0,5.0,2.0,10.0,N,2018-07-31,서울 서대문구 수색로8길 46
서울특별시,서대문구,경찰청어린이집,직장,90,23.0,6.0,1.0,32.0,N,2018-07-31,서울 서대문구 통일로 97
서울특별시,서대문구,고운햇살어린이집,가정,18,5.0,3.0,0.0,4.0,N,2018-07-31,서울 서대문구 가재울미래로 2
서울특별시,서대문구,고은어린이집,국공립,93,20.0,7.0,2.0,10.0,N,2018-07-31,서울 동작구 신대방2길 42-10
서울특별시,서대문구,그루터기어린이집,가정,19,3.0,3.0,0.0,4.0,N,2018-07-31,서울 서대문구 통일로25길 30
서울특별시,서대문구,금화어린이집,국공립,86,18.0,5.0,2.0,6.0,N,2018-07-31,서울 서대문구 독립문로10길 15
서울특별시,서대문구,꼬꼬마어린이집,가정,20,7.0,4.0,0.0,5.0,N,2018-07-31,서울 동대문구 답십리로68길 52-4
서울특별시,서대문구,꼬마박사어린이집,가정,19,6.0,3.0,0.0,4.0,N,2018-07-31,서울 서대문구 거북골로 120
서울특별시,서대문구,꼬마숲어린이집,가정,20,7.0,4.0,0.0,7.0,N,2018-07-31,서울 강서구 강서로45다길 30-27
서울특별시,서대문구,꾸러기어린이집,가정,20,7.0,3.0,0.0,5.0,N,2018-07-31,서울 금천구 가산로 34-7
서울특별시,서대문구,꿈빛나무어린이집,국공립,66,12.0,4.0,1.0,7.0,N,2018-07-31,서울 서대문구 세검정로1길 116
서울특별시,서대문구,꿈사랑어린이집,민간,39,9.0,3.0,0.0,3.0,N,2018-07-31,서울 서대문구 이화여대8길 62
서울특별시,서대문구,꿈하은어린이집,가정,19,6.0,3.0,0.0,4.0,N,2018-07-31,서울 서대문구 홍은동
서울특별시,서대문구,나빛어린이집,가정,20,6.0,3.0,0.0,4.0,N,2018-07-31,서울 서대문구 가재울미래로 2
서울특별시,서대문구,다솜어린이집,국공립,19,6.0,3.0,0.0,4.0,N,2018-07-31,서울 은평구 은평로 182-8
서울특별시,서대문구,단비어린이집,가정,19,6.0,4.0,0.0,4.0,N,2018-07-31,서울 동대문구 답십리로26길 12
서울특별시,서대문구,대신어린이집,법인·단체,52,11.0,5.0,1.0,5.0,Y,2018-07-31,서울 서대문구 성산로 570
서울특별시,서대문구,독립문어린이집,민간,116,20.0,6.0,1.0,14.0,Y,2018-07-31,서울 서대문구 독립문로 12
서울특별시,서대문구,돈의문어린이집,국공립,30,8.0,6.0,0.0,10.0,N,2018-07-31,서울 서대문구 홍은동
서울특별시,서대문구,동방어린이집,국공립,76,12.0,10.0,1.0,14.0,N,2018-07-31,"0    서울 서대문구 모래내로 177
Name: road_address_name, dtype: object"
서울특별시,서대문구,동우어린이나라어린이집,민간,128,20.0,7.0,1.0,10.0,Y,2018-07-31,"0    서울 서대문구 북아현로22나길 85
Name: road_address_name, dtype: object"
서울특별시,서대문구,두란노어린이집,민간,58,11.0,6.0,0.0,10.0,Y,2018-07-31,"0    서울 서대문구 증가로20가길 62
Name: road_address_name, dtype: object"
서울특별시,서대문구,두산꽃님어린이집,가정,19,6.0,4.0,0.0,5.0,Y,2018-07-31,서울 서대문구 홍은동
서울특별시,서대문구,또래어린이집,가정,12,6.0,3.0,0.0,5.0,N,2018-07-31,"0         서울 서대문구 증가로 191
1    서울 서대문구 증가로29길 30-14
2        서울 영등포구 양평로24길 9
3        서울 영등포구 양평로24길 9
Name: road_address_name, dtype: object"
서울특별시,서대문구,또오기어린이집,가정,14,6.0,2.0,0.0,4.0,N,2018-07-31,"0    서울 서대문구 연희로41길 102
Name: road_address_name, dtype: object"
서울특별시,서대문구,뜨란어린이집,민간,34,8.0,4.0,0.0,6.0,N,2018-07-31,"0    서울 서대문구 독립문로8길 54
Name: road_address_name, dtype: object"
서울특별시,서대문구,리틀삐아제어린이집,가정,16,5.0,3.0,0.0,4.0,N,2018-07-31,"0    서울 서대문구 증가로 200-5
Name: road_address_name, dtype: object"
서울특별시,서대문구,마미어린이집,민간,35,11.0,4.0,2.0,4.0,Y,2018-07-31,"0    서울 서대문구 증가로32길 58
Name: road_address_name, dtype: object"
서울특별시,서대문구,맑은숲어린이집,국공립,46,12.0,4.0,1.0,8.0,N,2018-07-31,"0      서울 서대문구 수색로 100
1    서울 용산구 한남대로40길 76
Name: road_address_name, dtype: object"
서울특별시,서대문구,명랑어린이집,국공립,82,14.0,8.0,1.0,13.0,N,2018-07-31,"0    서울 서대문구 홍제내길 18
Name: road_address_name, dtype: object"
서울특별시,서대문구,명성어린이집,민간,27,7.0,5.0,0.0,8.0,N,2018-07-31,서울 서대문구 홍은동
서울특별시,서대문구,명지대학교어린이집,민간,93,13.0,6.0,2.0,11.0,N,2018-07-31,"0    서울 서대문구 거북골로 34
Name: road_address_name, dtype: object"
서울특별시,서대문구,무지개어린이집,민간,24,7.0,3.0,0.0,4.0,Y,2018-07-31,"0     서울 서대문구 북아현로14길 7
1    서울 은평구 은평로16길 22-6
2          서울 은평구 역말로 7
3      서울 은평구 불광로 162-9
4       서울 성북구 북악산로 844
5        서울 중구 청구로1길 23
6      서울 마포구 성미산로2길 23
7      서울 영등포구 양산로17길 8
Name: road_address_name, dtype: object"
서울특별시,서대문구,미가어린이집,가정,19,6.0,4.0,0.0,4.0,N,2018-07-31,"0    서울 서대문구 수색로6길 43
Name: road_address_name, dtype: object"
서울특별시,서대문구,미키어린이집,민간,47,7.0,5.0,0.0,11.0,Y,2018-07-31,서울 서대문구 홍은동
서울특별시,서대문구,배화어린이집,민간,49,13.0,8.0,0.0,8.0,Y,2018-07-31,"0    서울 서대문구 북아현로22나길 105
1      서울 종로구 필운대로1길 16-8
Name: road_address_name, dtype: object"
서울특별시,서대문구,백합어린이집,가정,20,7.0,3.0,0.0,5.0,N,2018-07-31,"0    서울 서대문구 가재울미래로 2
Name: road_address_name, dtype: object"
서울특별시,서대문구,벽산어린이집,가정,19,6.0,4.0,0.0,0.0,N,2018-07-31,"0     서울 서대문구 세검정로1길 95
1    서울 영등포구 선유서로21길 19
2    서울 영등포구 선유서로21길 15
Name: road_address_name, dtype: object"
서울특별시,서대문구,별빛어린이집,국공립,30,9.0,3.0,0.0,7.0,N,2018-07-31,"0     서울 서대문구 신촌로35길 10
1    서울 마포구 양화로11길 27-8
2       서울 강서구 공항대로 447
Name: road_address_name, dtype: object"
서울특별시,서대문구,별초롱어린이집,가정,15,5.0,2.0,4.0,4.0,N,2018-07-31,"0    서울 서대문구 응암로 28
Name: road_address_name, dtype: object"
서울특별시,서대문구,보은어린이집,법인·단체,74,10.0,6.0,0.0,7.0,N,2018-07-31,서울 서대문구 홍은동
서울특별시,서대문구,북성엘리트어린이집,민간,48,11.0,6.0,0.0,6.0,Y,2018-07-31,서울 서대문구 홍은동
서울특별시,서대문구,북아현방과후교실어린이집,국공립,40,6.0,2.0,1.0,4.0,N,2018-07-31,"0     서울 서대문구 북아현로1가길 6
1    서울 서대문구 북아현로22길 38
Name: road_address_name, dtype: object"
서울특별시,서대문구,북아현어린이집,국공립,79,14.0,5.0,2.0,8.0,N,2018-07-31,"0       서울 서대문구 북아현로1가길 6
1       서울 서대문구 북아현로1가길 6
2        서울 서대문구 북아현로 120
3     서울 서대문구 북아현로22나길 85
4                        
5       서울 서대문구 신촌로35길 10
6       서울 서대문구 북아현로1길 17
7      서울 서대문구 북아현로4길 9-7
8       서울 서대문구 북아현로1길 50
9         서울 서대문구 신촌로 293
10     서울 서대문구 이화여대8길 123
11      서울 서대문구 북아현로1길 50
12      서울 서대문구 이화여대8길 62
13      서울 서대문구 북아현로14길 7
14        서울 서대문구 북아현로 29
Name: road_address_name, dtype: object"
